Velocity(m/s)	Chord(mm)
0.206257	0.571332
0.318429	1.315110
0.215243	0.407886
0.390888	1.835220
0.222463	0.971051
0.120876	0.338453
0.303414	0.866246
0.256019	0.933190
0.234335	0.514366
0.216981	0.111745
0.131375	0.187866
0.158397	0.395994
0.225448	0.843177
0.211820	0.579327
0.144317	0.228743
0.284334	1.821159
0.246719	0.468767
0.134533	0.143277
0.226315	0.408499
0.119158	0.291342
0.125617	0.288918
0.195719	0.574437
0.159944	0.507821
0.167580	0.544636
0.171762	0.359840
0.139601	0.258262
0.068852	0.108098
0.155497	0.394962
0.098460	0.275688
0.129912	0.125365
0.087009	0.160531
0.117674	0.210048
0.236496	1.690945
0.195400	0.410339
0.084739	0.158462
0.207308	0.553511
0.198959	0.513314
0.121286	0.131595
0.049678	0.144564
0.115477	0.341812
0.193996	0.224066
0.188419	0.550183
0.264020	0.579524
0.111552	0.149480
0.140296	0.130475
0.154749	0.319557
0.274083	1.137446
0.197217	0.338227
0.229419	0.596489
0.257153	0.891037
0.157634	0.322362
0.209517	0.319513
0.303735	0.536093
0.123920	0.240404
0.134959	0.242251
0.319274	0.815746
0.116770	0.171651
0.233329	1.077980
0.139641	0.270904
0.146820	0.382465
0.133044	0.182271
0.096197	0.139486
0.149772	0.228402
0.342464	1.051365
0.148658	0.385767
0.172778	0.437129
0.130140	0.215381
0.155024	0.306173
0.181699	1.330942
0.164638	0.489799
0.093243	0.155250
0.183872	0.528631
0.085138	0.168574
0.222811	0.915754
0.122034	0.329492
0.203373	0.429117
0.182864	0.566879
0.140791	0.351978
0.111002	0.246980
0.081459	0.119337
0.161883	0.290581
0.285964	0.633409
0.165496	0.366573
0.094550	0.163099
0.162084	0.380086
0.130725	0.326812
0.123358	0.299142
0.182155	0.873434
0.122004	0.167146
0.102069	0.133710
0.322626	0.924323
0.183952	0.652109
0.132904	0.628636
0.156505	0.492208
0.105057	0.146554
0.104543	0.378969
0.116168	0.155666
0.175940	0.377392
0.175518	0.562536
0.139507	0.232977
0.117087	0.202561
0.194450	0.273202
0.122438	0.202022
0.414161	1.861652
0.257863	0.443524
0.181116	0.341403
0.228896	1.155926
0.254650	0.450731
0.136028	0.248251
0.121093	0.222206
0.207074	0.642966
0.283575	1.461829
0.276634	1.196444
0.088365	0.140943
0.123397	0.257283
0.146970	0.426214
0.134538	0.158755
0.256982	2.041724
0.181283	0.417856
0.131917	0.199854
0.169591	0.500292
0.254955	1.115428
0.196484	0.704394
0.183544	0.922310
0.160840	0.541226
0.128838	0.273137
0.154421	0.295715
0.144680	0.175786
0.291391	0.910598
0.358413	0.505362
0.280946	1.111143
0.151483	0.241616
0.104292	0.138187
0.207326	0.322392
0.148914	0.463121
0.255829	1.019479
0.138757	0.145695
0.095170	0.174161
0.103531	0.295582
0.101720	0.160210
0.139668	0.463698
0.152188	0.601904
0.148230	0.310543
0.090343	0.201916
0.162400	0.648789
0.090608	0.135913
0.257531	0.395310
0.139783	0.647896
0.155944	0.883425
0.314150	4.531618
0.120688	0.101981
0.157159	0.286816
0.144569	0.277572
0.112250	0.404099
0.177251	1.277978
0.058406	0.131121
0.120022	0.234043
0.067102	0.130848
0.157845	0.498000
0.203840	2.175987
0.141264	0.277585
0.172879	0.306860
0.087863	0.149367
0.149130	0.286330
0.270244	1.529584
0.154806	0.311160
0.103041	0.236478
0.148940	0.413310
0.165779	0.353110
0.122636	0.184568
0.290280	0.847617
0.394420	2.818133
0.178302	0.282609
0.144465	0.318546
0.198952	0.382983
0.363234	1.663611
0.203866	0.192654
0.371504	0.635271
0.127635	0.107851
0.244912	0.644118
0.212398	0.464089
0.241779	0.262330
0.206822	0.586339
0.233330	0.272996
0.168924	0.163012
0.158457	0.190148
0.157464	0.283436
0.137225	0.271705
0.193664	0.294370
0.181800	0.249066
0.208105	0.382914
0.301344	2.311309
0.161624	0.171321
0.222593	0.340568
0.116599	0.188307
0.109169	0.169212
0.271454	1.289408
0.142875	0.135731
0.170495	0.625718
0.347393	2.037462
0.100624	0.258603
0.230390	0.709600
0.158081	0.279013
0.116653	0.211726
0.169937	0.352620
0.184414	0.418619
0.148557	0.411503
0.098185	0.214044
0.149367	0.204633
0.127323	0.186528
0.189780	0.571237
0.221051	0.739417
0.058815	0.108513
0.163977	0.354191
0.198106	0.581441
0.070966	0.153996
0.137590	0.376996
0.098077	0.272163
0.208804	1.255956
0.022295	0.078479
0.113663	1.084341
0.290166	0.504890
0.143794	0.208501
0.088521	0.301415
0.158039	0.577633
0.241697	1.084009
0.115735	0.165501
0.124840	0.301488
0.158002	0.154052
0.086829	0.128941
0.133335	0.222003
0.145319	0.342226
0.108943	0.244576
0.231009	0.653755
0.227188	0.842868
0.138038	0.330600
0.188034	0.445640
0.107781	0.157899
0.290903	0.557080
0.134050	0.250003
0.155862	0.184696
0.227842	1.024149
0.236459	0.468188
0.233653	1.774593
0.190426	0.602699
0.108623	0.144468
0.228254	0.301296
0.344551	0.525440
0.270491	2.105774
0.064524	0.138726
0.213371	0.520624
0.104705	0.184282
0.121033	0.229358
0.209022	0.371014
0.337799	3.095932
0.130465	0.294198
0.236851	0.999510
0.116315	0.138997
0.190337	0.708054
0.143400	0.324801
0.173697	0.443796
0.060463	0.148135
0.165598	0.639210
0.118067	0.159981
0.137631	0.313110
0.078000	0.117390
0.102508	0.131723
0.195867	0.649298
0.317137	0.748444
0.078375	0.084253
0.108043	0.132892
0.076613	0.109939
0.147612	0.243559
0.265025	0.735444
0.109888	0.173622
0.092145	0.243724
0.196190	0.192266
0.195050	0.293550
0.260210	0.282328
0.338309	0.740896
0.280044	0.448071
0.440421	1.689014
0.187882	0.417097
0.257198	0.994069
0.240143	0.398637
0.197724	0.429062
0.161461	0.336646
0.107969	0.141440
0.280536	1.289065
0.208023	0.294353
0.137138	0.200221
0.218573	0.560640
0.114562	0.218813
0.214642	0.851055
0.167089	0.228912
0.284156	0.406344
0.232097	1.003822
0.228272	0.570681
0.092739	0.177131
0.082611	0.228834
0.100832	0.121503
0.343368	1.768345
0.104700	0.257563
0.165286	0.583459
0.263346	0.468757
0.113645	0.326160
0.363484	1.533901
0.112742	0.293130
0.215848	1.447261
0.257558	0.808732
0.109304	0.112583
0.182021	0.408637
0.074464	0.165311
0.308313	0.889482
0.107779	0.109934
0.114570	0.159253
0.149392	0.162837
0.084565	0.117123
0.175469	0.133357
0.205081	0.113820
0.146936	0.257138
0.109252	0.134926
0.361931	1.464011
0.233551	0.857130
