Velocity(m/s)	Chord(mm)
0.080189	0.107854
0.248636	1.095242
0.064414	0.086637
0.117319	0.172459
0.112213	0.172808
0.085200	0.135468
0.242102	1.199616
0.123746	0.228930
0.124833	0.263397
0.152851	0.189535
0.131634	0.140190
0.110976	0.120963
0.182853	0.500102
0.095006	0.106882
0.086869	0.107717
0.111814	0.147594
0.096865	0.150625
0.143266	0.166905
0.118088	0.185988
0.123609	0.166255
0.166453	0.541803
0.175742	0.246038
0.085299	0.207704
0.217058	0.693499
0.084278	0.145379
0.199393	0.649025
0.211326	0.524088
0.165743	0.151655
0.191115	0.747259
0.070636	0.144451
0.088763	0.113617
0.096023	0.122429
0.125891	0.297102
0.249067	1.119554
0.142714	0.218352
0.103327	0.182889
0.171981	0.292367
0.156160	0.349017
0.084364	0.112626
0.071098	0.097049
0.114635	0.153610
0.082324	0.154769
0.183032	0.945359
0.091309	0.174857
0.105683	0.168036
0.097055	0.214977
0.095540	0.143310
0.197583	0.861462
0.168878	0.277805
0.209610	0.524024
0.198020	0.238614
0.082044	0.081634
0.172328	0.159403
0.142765	0.147048
0.289132	0.401893
0.199237	0.195253
0.242601	0.315382
0.177853	0.195638
0.154754	0.167135
0.184952	0.172930
0.130331	0.153791
0.298123	0.688665
0.166077	0.435953
0.096239	0.093352
0.148318	0.473133
0.196890	1.601704
0.129009	0.139329
0.270796	0.697301
0.153469	0.267803
0.235834	0.700426
0.231680	0.720526
0.307795	1.614386
0.106499	0.140046
0.099021	0.113875
0.168654	0.315382
0.152462	0.332367
0.105031	0.152820
0.124425	0.256939
0.083335	0.107918
0.193309	0.435912
0.168239	0.263294
0.144827	0.209275
0.061357	0.088047
0.105721	0.259546
0.066771	0.107168
0.061833	0.095223
0.054335	0.084762
0.054919	0.091989
0.108475	0.288001
0.117581	0.245156
0.070276	0.128606
0.122429	0.274854
0.087520	0.238491
0.154242	0.340875
0.154657	0.515782
0.066609	0.112902
0.087303	0.145796
0.146333	0.416316
0.074950	0.091439
0.061888	0.088810
0.112559	0.141824
0.196840	0.616110
0.112699	0.182572
0.088553	0.097408
0.141658	0.170698
0.108069	0.216138
0.171222	0.333882
0.140113	0.424541
0.084573	0.113328
0.090529	0.200522
0.232767	0.417816
0.098620	0.223867
0.083395	0.090067
0.135309	0.493879
0.163035	0.146731
0.085687	0.091685
0.149818	0.171541
0.203809	0.527866
0.094068	0.143454
0.158180	0.400987
0.122947	0.194256
0.153809	0.245326
0.157085	0.900881
0.222422	0.204629
0.132738	0.110836
0.217198	0.994767
0.180828	0.290228
0.125612	0.165808
0.146750	0.242871
0.211743	0.555824
0.040245	0.105441
0.091309	0.293559
0.075934	0.191355
0.078046	0.218919
0.120561	0.423773
0.184563	0.463254
0.104165	0.165101
0.385738	1.631670
0.139841	0.225144
0.180570	0.523653
0.146848	0.458901
0.081013	0.137317
0.177700	0.264773
0.117584	0.408018
0.173570	0.360157
0.075098	0.095750
0.193638	0.387277
0.068103	0.096365
0.179044	0.296318
0.083345	0.115016
0.209116	0.943115
0.079419	0.138984
0.151678	0.185805
0.127528	0.133904
0.101671	0.137256
0.157558	0.353719
0.090606	0.176229
0.049427	0.126533
0.070636	0.099597
0.088160	0.122543
0.127538	0.218727
0.255059	0.580260
0.070465	0.107107
0.068335	0.145212
0.103723	0.349027
0.134581	0.313574
0.058793	0.087013
0.056414	0.110290
0.120961	0.207447
0.064751	0.141481
0.084317	0.112985
0.108749	0.297971
0.070909	0.132244
0.131677	0.423999
0.178170	0.528273
0.111820	0.339933
0.101455	0.238420
0.111458	0.219572
0.102574	0.128217
0.096988	0.175549
0.177544	0.264540
0.156384	0.257251
0.124910	0.201105
0.084749	0.160599
0.103704	0.177852
0.078285	0.132693
0.048689	0.144850
0.130134	0.333143
0.102582	0.247736
0.101475	0.117711
0.275388	0.717385
0.079907	0.107076
0.127109	0.215449
0.137325	0.218347
0.156208	0.226501
0.261515	0.758393
0.243982	0.622155
0.084517	0.179177
0.087669	0.097751
0.095570	0.134276
0.183901	0.276771
0.114696	0.166883
0.131533	0.234787
0.126838	0.197233
0.073909	0.088321
0.115357	0.227830
0.095528	0.185323
0.129638	0.233348
0.107306	0.351427
0.054582	0.076688
0.091388	0.185061
0.091840	0.142352
0.076711	0.152654
0.142775	0.297685
0.067056	0.137465
0.235188	0.909002
0.069564	0.121042
0.162292	0.554228
0.051883	0.088979
0.066362	0.170217
0.063371	0.133079
0.101287	0.157501
0.075326	0.154041
0.088599	0.246748
0.073717	0.224837
0.111683	0.522118
0.085491	0.209453
0.160714	0.247499
0.067901	0.117129
0.069413	0.106202
0.062062	0.127228
0.085033	0.175593
0.129029	0.442568
0.081361	0.202590
0.083927	0.233316
0.106606	0.167371
0.086224	0.253929
0.057834	0.097450
0.073262	0.146524
0.155943	0.305649
0.121120	0.215594
0.084655	0.181585
0.071941	0.106473
0.049036	0.127249
0.112083	0.191101
0.122906	0.154862
0.142422	0.279860
0.101383	0.193641
0.075957	0.154194
0.169239	0.281783
0.080475	0.092546
0.180687	0.531219
0.156540	0.502493
0.138082	0.347967
0.346845	1.416861
0.097203	0.117130
0.117409	0.181984
0.185883	0.502812
0.158455	0.513394
0.152088	0.216726
0.134561	0.362643
0.093396	0.182122
0.115239	0.125035
0.112094	0.294807
0.104074	0.180569
0.089592	0.152307
0.225508	0.211977
0.229430	0.308584
0.122715	0.119647
0.342805	1.395216
0.134953	0.219973
0.129334	0.176540
0.110271	0.242046
0.181172	0.192042
0.117080	0.145179
0.154477	0.424040
0.241235	0.654954
0.108195	0.155260
0.076395	0.090528
0.192180	0.348807
0.223878	0.410816
0.220239	0.311639
0.149527	0.254943
0.101128	0.104668
0.165140	0.180828
0.280988	1.877000
0.080391	0.125008
0.116280	0.219188
0.104682	0.087410
0.118741	0.128240
0.224874	0.655507
0.067211	0.171052
0.059121	0.162878
0.089437	0.338966
0.079978	0.101572
0.085901	0.179104
0.143812	0.404830
0.076430	0.091716
0.098378	0.148551
0.116909	0.303963
0.069243	0.106634
0.091323	0.120090
0.162292	0.559908
0.148511	0.752210
0.105424	0.195035
0.068505	0.097619
0.102247	0.241814
0.098897	0.219552
0.136647	0.259630
0.247244	1.437723
0.116854	0.217932
0.078369	0.105406
0.135589	0.331516
0.119476	0.173838
0.257576	0.319394
0.162127	0.309662
0.128769	0.194442
0.114025	0.259406
0.124763	0.149716
0.121574	0.153183
0.092800	0.090016
0.136147	0.131382
0.134707	0.212837
0.129600	0.127656
0.114580	0.103122
0.111568	0.118262
0.093573	0.183870
0.090114	0.152742
0.163912	0.455677
0.118359	0.233760
0.091180	0.161388
0.158314	0.255677
0.134610	0.113745
0.125555	0.121788
0.269422	1.285144
0.166096	0.194333
0.133769	0.223395
0.139783	0.190804
0.122840	0.157236
0.200140	0.279195
0.103004	0.128755
0.151121	0.169256
0.120574	0.133837
0.098530	0.212825
0.100941	0.089838
0.190846	0.678457
0.148740	0.504228
0.200874	0.598606
0.183398	0.754682
0.140784	0.336473
0.076242	0.169639
0.168152	2.161600
0.132902	0.261152
0.081860	0.157581
0.094670	0.141532
0.264825	1.089755
0.114610	0.199995
0.074558	0.133832
0.077265	0.090014
0.162646	0.349689
0.123050	0.269480
0.047926	0.153123
0.072158	0.104990
0.124228	0.393804
0.070885	0.139644
0.203224	0.318045
0.251972	0.313706
0.284908	0.376079
0.357996	1.233296
0.152153	0.154435
0.138603	0.363139
0.139936	0.379926
0.121699	0.267130
0.131722	0.096816
0.080771	0.195061
0.137979	0.155227
0.118577	0.357509
0.087656	0.108256
0.108138	0.106516
0.077422	0.104907
0.170721	0.209134
0.134548	0.130512
0.163633	0.353447
0.105179	0.113067
0.230392	0.441200
0.147905	0.146426
0.192188	0.263298
0.213014	0.319521
0.112522	0.222793
0.112751	0.199569
0.096110	0.142243
0.097614	0.186442
0.064804	0.100122
0.184525	0.606166
0.094017	0.156538
0.124919	0.215486
0.110080	0.131546
0.222987	0.431480
0.212793	0.191514
0.130793	0.269434
0.129452	0.176702
0.127282	0.189651
0.091863	0.144685
0.104783	0.347879
0.088972	0.231773
0.062065	0.132819
0.077073	0.097882
0.165917	0.338471
0.129521	0.231196
0.087239	0.164882
0.144655	0.321857
0.116515	0.254585
0.199352	0.291054
0.143216	0.408166
0.122301	0.297191
0.208913	0.291434
0.123039	0.141495
0.104207	0.202683
0.084970	0.183536
0.072429	0.086915
0.114497	0.359521
0.141248	0.373601
0.121950	0.242680
0.112141	0.209142
0.091188	0.179184
0.062561	0.104477
0.108710	0.177197
0.141884	0.219920
0.120085	0.268389
0.102183	0.192104
0.080482	0.103821
0.136941	0.462861
0.101037	0.176310
0.105062	0.143410
0.164232	0.443425
0.218660	0.684404
0.213177	0.219572
0.202510	0.480962
0.105550	0.151991
0.153627	0.123670
0.159974	0.297551
0.078195	0.140751
0.143702	0.313989
0.112447	0.175418
0.098287	0.143990
0.140656	0.538007
0.077186	0.126971
0.205086	0.785481
0.134532	0.176237
0.084302	0.170289
0.093372	0.160600
0.144272	0.192604
0.116514	0.226619
0.091112	0.180401
0.088572	0.156772
0.178921	0.585072
0.180780	0.202473
0.312945	1.289332
0.092321	0.172178
0.132490	0.237156
0.096425	0.149941
0.105972	0.270759
0.057382	0.139152
0.093118	0.123381
0.095047	0.209578
0.101168	0.133542
0.337074	0.306737
0.269629	0.531169
0.136292	0.388432
0.094323	0.239109
0.181941	0.698653
0.130631	0.229910
0.139381	0.258552
0.193682	0.949042
0.080648	0.137102
0.297298	1.400273
0.123873	0.151744
0.114699	0.160006
0.108810	0.310110
0.070296	0.175038
0.098299	0.308658
0.159802	0.468219
0.065949	0.176742
0.073279	0.127505
0.200098	1.924946
0.143413	0.487603
0.106325	0.215841
0.065707	0.113015
0.077089	0.200817
0.063522	0.101000
0.062965	0.145449
0.084456	0.174402
0.082151	0.139246
0.212435	0.171010
0.146559	0.236693
0.113741	0.187103
0.222536	1.389735
0.147376	0.446551
0.210042	0.540859
0.229002	0.614871
0.079976	0.143957
0.220545	0.741031
0.157171	0.277407
0.148948	0.339602
0.105498	0.140313
0.120159	0.346658
0.082000	0.162360
0.078081	0.108532
0.098706	0.249232
0.074889	0.085373
0.083267	0.167783
0.153752	0.263685
0.101088	0.239579
0.138797	0.258163
0.184427	0.905537
0.100554	0.185523
0.143379	0.445192
0.065043	0.128785
0.072830	0.137284
0.069578	0.172552
0.089175	0.191726
0.088721	0.143729
0.204503	0.519437
0.070355	0.107643
0.102972	0.248677
0.119060	0.331582
0.082279	0.098735
0.099733	0.163064
0.155071	0.515611
0.087401	0.144648
0.070936	0.119882
