Velocity(m/s)	Chord(mm)
0.077870	0.107071
0.075041	0.133573
0.049577	0.129148
0.077812	0.210872
0.041691	0.105270
0.124629	0.925996
0.063905	0.144105
0.108099	0.304838
0.068889	0.103678
0.104153	0.176539
0.153680	0.202089
0.093903	0.099537
0.113512	0.242916
0.233725	0.815702
0.201127	0.245375
0.190700	0.227887
0.171192	0.318418
0.211673	0.348202
0.155794	0.289776
0.115429	0.188726
0.119404	0.124180
0.179651	0.300916
0.182798	0.363768
0.205809	0.227419
0.036003	0.094868
0.066898	0.092653
0.185988	0.472410
0.236121	0.460436
0.262333	0.519419
0.120237	0.114826
0.260056	0.206745
0.160682	0.225758
0.187751	0.163343
0.220045	0.411484
0.072622	0.099129
0.160720	0.463679
0.059017	0.198591
0.130045	0.397937
0.137219	0.394504
0.076229	0.123871
0.122229	0.404579
0.071531	0.095136
0.059167	0.082537
0.086044	0.171229
0.099645	0.095659
0.074954	0.088070
0.170583	0.162907
0.198018	0.306928
0.142003	0.246375
0.169084	0.276452
0.121262	0.157035
0.153514	0.264812
0.145234	0.349288
0.132739	0.311273
0.168127	0.352226
0.160485	0.221469
0.066030	0.118854
0.124264	0.109352
0.144081	0.227649
0.154638	0.231957
0.122088	0.157493
0.128471	0.214547
0.102475	0.153200
0.143265	0.187677
0.100293	0.161973
0.125000	0.426250
0.162036	0.329743
0.098773	0.210881
0.132213	0.312023
0.084688	0.099508
0.133697	0.720626
0.090959	0.114153
0.125115	0.322172
0.105899	0.163085
0.087977	0.322437
0.082152	0.287942
0.093297	0.414241
0.140271	0.631921
0.050485	0.281706
0.080196	0.182046
0.097563	0.104881
0.075366	0.082903
0.049966	0.095935
0.099450	0.298350
0.066899	0.151525
0.094300	0.461128
0.094283	0.203652
0.138743	0.643072
0.034767	0.102216
0.138401	1.069147
0.061754	0.164882
0.129235	0.308225
0.126029	0.360442
0.135182	0.350798
0.064554	0.097476
0.078995	0.297416
0.055724	0.099745
0.123382	0.114128
0.158686	0.148371
0.160254	0.158652
0.118913	0.337714
0.084644	0.215420
0.070400	0.095744
0.073060	0.086211
0.081258	0.330312
0.158917	0.563361
0.083094	0.103867
0.100592	0.230356
0.066098	0.124265
0.050225	0.255393
0.039504	0.089082
0.066766	0.221998
0.078967	0.211633
0.102414	0.292393
0.126193	0.214529
0.078154	0.172720
0.099870	0.112353
0.076851	0.194048
0.152565	0.443965
0.119635	0.266786
0.125728	0.216880
0.092708	0.201176
0.042898	0.091802
0.093010	0.136724
0.080294	0.118434
0.082169	0.098192
0.066976	0.141655
0.100351	0.275464
0.091266	0.280188
0.204276	1.496320
0.061914	0.138378
0.139414	0.533258
0.060690	0.113186
0.047619	0.117618
0.121386	1.040277
0.061317	0.294014
0.169469	1.458283
0.087967	0.519444
0.084183	0.310216
0.124979	0.606149
0.156612	0.313224
0.178971	0.342729
0.067467	0.131223
0.141081	0.347060
0.074900	0.105609
0.086742	0.121439
0.109437	0.187137
0.171556	0.498369
0.108924	0.160119
0.127020	0.190530
0.160141	0.417168
0.051655	0.135335
0.067706	0.174681
0.075415	0.193438
0.069869	0.150219
0.120105	0.546479
0.085398	0.222462
0.110362	0.454692
0.041167	0.102506
0.089164	0.139541
0.078147	0.128943
0.099076	0.250663
0.109226	0.195515
0.061295	0.080602
0.100596	0.176043
0.082829	0.115132
0.189195	0.392579
0.154810	0.661039
0.105325	0.154301
0.074510	0.165040
0.060516	0.117401
0.169917	0.481716
0.107703	0.179326
0.126515	0.137901
0.146915	0.455438
0.094817	0.148388
0.241935	0.884273
0.251563	0.438978
0.124752	0.638106
0.100953	0.216038
0.082724	0.142699
0.132274	0.265870
0.082118	0.136316
0.157886	0.263670
0.143032	0.182366
0.133542	0.205655
0.098715	0.130304
0.106553	0.179009
0.129564	0.180094
0.139585	0.168200
0.124956	0.253036
0.156719	0.289929
0.111600	0.171864
0.092276	0.329888
0.066396	0.239690
0.051705	0.186395
0.097402	0.174837
0.088315	0.252580
0.077176	0.253523
0.123417	0.244366
0.116886	0.273513
0.129845	0.415505
0.116750	0.243423
0.083250	0.154013
0.103392	0.192309
0.084750	0.213995
0.075036	0.167705
0.156038	0.218453
0.158391	0.517938
0.062243	0.088385
0.136406	0.355339
0.080353	0.161912
0.119877	0.282911
0.200795	0.884500
0.094169	0.151141
0.087317	0.215672
0.066715	0.082726
0.092910	0.261543
0.114657	0.175425
0.139095	0.284450
0.116330	0.534535
0.067666	0.099469
0.132342	0.438050
0.126831	0.242882
0.211424	0.860496
0.117487	0.115137
0.098014	0.448902
0.176465	0.220581
0.098427	0.544303
0.064632	0.138312
0.157095	0.329900
0.135278	0.280701
0.095522	0.164775
0.101406	0.307259
0.058670	0.105313
0.061903	0.206136
0.092449	0.186748
0.052215	0.150639
0.103159	0.207349
0.104656	0.335423
0.049058	0.090511
0.111267	0.567463
0.117796	0.301559
0.211320	0.822036
0.171224	0.209749
0.088486	0.111050
0.067628	0.172114
0.145461	0.378926
0.105200	0.185152
0.080660	0.125427
0.193748	0.427215
0.119412	0.189267
0.209230	0.263629
0.122638	0.115280
0.159934	0.601351
0.140042	0.113434
0.141609	0.157894
0.252155	0.216853
0.139021	0.200886
0.166227	1.044738
0.080000	0.184400
0.072162	0.137469
0.078656	0.151412
0.164483	0.564999
0.066392	0.109879
0.154426	0.332015
0.047227	0.087842
0.053274	0.128656
0.087408	0.281455
0.072285	0.118187
0.092324	0.158336
0.132850	0.189976
0.119289	0.265418
0.091518	0.204084
0.192721	0.915427
0.127163	0.302648
0.076719	0.128120
0.121888	0.174910
0.140108	0.378293
0.141466	0.572937
0.201167	0.551198
0.136507	0.183602
0.162471	0.402927
0.157168	0.284474
0.234709	0.499931
0.171437	0.187723
0.145063	0.232827
0.261919	0.385021
0.132241	0.655916
0.111619	0.139524
0.161914	0.590986
0.228655	0.804865
0.145531	0.202288
0.162555	0.194253
0.124528	0.395998
0.122885	0.137631
