Velocity(m/s)	Chord(mm)
0.228452	0.204465
0.338644	0.289541
0.407111	0.822364
0.386351	0.289763
0.157123	0.111557
0.274341	0.587090
0.281956	0.424344
0.323237	0.473543
0.276402	0.316480
0.186847	0.191518
0.212114	0.316050
0.185593	0.267253
0.263820	0.312627
0.281764	0.570571
0.143097	0.191750
0.467264	1.254605
0.190030	0.223285
0.314112	0.292124
0.184273	0.119778
0.262539	0.496199
0.197940	0.228621
0.216099	0.618044
0.279042	0.608312
0.190714	0.239346
0.123900	0.099739
0.142108	0.110134
0.185441	0.182660
0.114436	0.109286
0.239405	0.457263
0.241727	0.452030
0.357664	0.354088
0.160851	0.184978
0.145967	0.100717
0.212532	0.199780
0.246733	0.169012
0.242854	0.263496
0.321307	0.308455
0.208928	0.136848
0.208793	0.373739
0.244132	0.513899
0.232276	1.123053
0.239783	0.370465
0.171956	0.367986
0.110402	0.121442
0.177443	0.164135
0.138329	0.123805
0.225543	0.316888
0.176399	0.200213
0.209913	0.246648
0.161222	0.104794
0.263456	0.260822
0.209985	0.238333
0.198904	0.211833
0.153160	0.123293
0.279235	0.424437
0.200581	0.265770
0.223324	0.180892
0.317996	0.432475
0.339802	1.123047
0.375386	0.553694
0.311436	0.295864
0.164230	0.246346
0.267268	0.335422
0.193936	0.125089
0.203124	0.166562
0.309089	0.754176
0.203866	0.132513
0.137144	0.128230
0.300492	0.326033
0.264266	0.330333
0.308656	0.311743
0.244967	0.292736
0.216600	0.206853
0.244184	0.274706
0.310499	0.312052
0.242464	0.356421
0.157154	0.161869
0.196670	0.242888
0.237394	0.453423
0.198153	0.179329
0.200968	0.263269
0.178942	0.249624
0.208684	0.187815
0.143511	0.183694
0.164934	0.132772
0.286436	0.315080
0.217310	0.166242
0.132965	0.148256
0.245258	0.359302
0.121589	0.094232
0.229412	0.235148
0.116538	0.178303
0.089232	0.092355
0.110441	0.128664
0.162737	0.218882
0.240625	0.440344
0.153200	0.184606
0.221357	0.345317
0.098214	0.197901
0.146559	0.172207
0.176423	0.209061
0.199780	0.392567
0.145288	0.176525
0.137879	0.142016
0.183194	0.366387
0.125466	0.243404
0.144823	0.155685
0.180494	0.288791
0.150978	0.178909
0.172200	0.571704
0.130795	0.100058
0.137976	0.119349
0.203602	0.310493
0.189246	0.483523
0.220602	0.185305
0.122436	0.136517
0.183550	0.506598
0.141564	0.202437
0.235810	0.473979
0.195916	0.344812
0.244500	0.602693
0.227161	0.731460
0.155527	0.143863
0.233248	0.381361
0.242929	0.499219
0.193748	0.302247
0.124526	0.158771
0.176249	0.279355
0.228250	0.341234
0.144430	0.161040
0.247525	0.287129
0.219562	0.443515
0.125723	0.135781
0.128466	0.234451
0.157059	0.182974
0.125871	0.158598
0.197167	0.250402
0.250077	0.428883
0.168417	0.121261
0.238354	0.355147
0.242188	0.592150
0.200597	0.158471
0.360483	1.061622
0.203359	0.278602
0.255093	0.267848
0.297862	1.501223
0.182251	0.168582
0.183608	0.145969
0.123034	0.091661
0.204641	0.192363
0.260734	0.537112
0.287496	0.631053
0.271595	0.490230
0.182234	0.164010
0.298562	1.328603
0.176567	0.175684
0.246028	0.252179
0.108614	0.097209
0.137387	0.161430
0.212398	0.230452
0.178301	0.185433
0.165570	0.137423
0.172498	0.100912
0.325657	0.898812
0.304564	0.345680
0.442169	0.685362
0.192175	0.233493
0.297357	0.255727
0.305036	0.924258
0.295494	0.351638
0.184338	0.129036
0.149643	0.092778
0.302669	0.401036
0.275185	0.203637
0.150871	0.113907
0.216136	0.324203
0.246520	0.335267
0.141548	0.098376
0.266124	0.428459
0.208397	0.480355
0.319676	1.102882
0.285489	0.348297
0.242621	0.629601
0.114863	0.127498
0.159534	0.219359
0.160998	0.192393
0.201690	0.229927
0.180070	0.316022
0.173580	0.183995
0.203782	0.584855
0.156346	0.282986
0.228214	0.668667
0.159334	0.231831
0.222146	0.743077
0.163053	0.233166
0.189295	0.201599
0.134067	0.142111
0.138855	0.258964
0.163053	0.201370
0.198564	0.428898
0.170412	0.348492
0.203247	0.318081
0.180329	0.406641
0.150431	0.249715
0.239389	0.839058
0.148822	0.142869
0.135369	0.244342
0.166800	0.266879
0.174136	0.161076
0.210854	0.542948
0.204385	0.572279
0.112018	0.113138
0.095995	0.102235
0.136122	0.113662
0.156388	0.194703
0.140185	0.244622
0.211862	0.511648
0.151479	0.133301
0.192338	0.423144
0.169199	0.285100
0.187611	0.343328
0.166590	0.249885
0.120058	0.166280
0.096102	0.105232
0.194185	0.476723
0.157782	0.136482
0.216897	0.137730
0.207254	0.295337
0.186635	0.363004
0.159282	0.152114
0.216731	0.165799
0.269267	0.214067
0.223558	0.128546
0.303276	0.365447
0.261721	0.211994
0.275404	0.338747
0.271419	0.974393
0.166970	0.141090
0.150308	0.193897
0.149752	0.159486
0.199891	0.442760
0.171907	0.230355
0.106744	0.101407
0.158765	0.186549
0.154478	0.210090
0.206916	0.652819
0.111416	0.144841
0.149802	0.241181
0.190578	0.427847
0.167800	0.623376
0.150166	0.378418
0.165998	0.439894
0.220643	0.464455
0.272436	0.739664
0.193259	0.305350
0.120669	0.114635
0.221456	0.337721
0.090016	0.154378
0.125679	0.248215
0.136109	0.292635
0.157913	0.256609
0.255161	0.316400
0.255463	0.491766
0.158038	0.249700
0.150903	0.112423
0.126224	0.183025
0.087535	0.102416
0.132425	0.158248
0.113000	0.120910
0.142418	0.109662
0.215373	0.933643
0.144861	0.330282
0.140125	0.227702
0.159747	0.350644
0.121794	0.242371
0.096906	0.168131
0.144216	0.205508
0.194442	0.541520
0.111930	0.212107
0.089108	0.155939
0.067749	0.098913
