Velocity(m/s)	Chord(mm)
0.377539	1.009917
0.577422	0.675584
0.338451	0.206455
0.326401	0.355777
0.595571	0.649173
0.316287	0.170795
0.361929	0.195442
0.190503	0.125732
0.398765	0.813480
0.401046	0.320837
0.388436	0.780756
0.499536	0.846714
0.307399	0.210568
0.417122	0.296157
0.283946	0.254132
0.468242	1.226795
0.342213	0.299437
0.344585	0.361815
0.431379	0.694520
0.235583	0.209669
0.341822	0.341822
0.407522	0.562380
0.347525	0.224154
0.156888	0.120019
0.295085	0.435250
0.357892	0.962728
0.263609	0.308422
0.266610	0.170630
0.320539	0.682747
0.289720	0.310000
0.361612	0.795546
0.159412	0.136297
0.378835	0.443237
0.155938	0.155938
0.272744	0.481393
0.255985	0.348140
0.290385	0.219241
0.351826	0.432747
0.627407	1.126195
0.328868	0.161145
0.534074	0.771736
0.291693	0.138554
0.310965	0.197463
0.612533	1.209753
0.398343	0.350542
0.377677	0.245490
0.303037	0.165155
0.702081	0.737186
0.258116	0.184553
0.312148	0.371456
0.277612	0.134642
0.248876	0.217766
0.361237	0.496701
0.292605	0.235547
0.405415	0.632448
0.398686	0.434567
0.633475	1.938433
0.357653	0.448854
0.543042	0.320395
0.218355	0.163766
0.361327	0.959324
0.320439	0.631265
0.258786	0.340303
0.453140	0.303604
0.707048	1.141882
0.232436	0.130164
0.361995	0.224437
0.273504	0.168205
0.601435	1.100626
0.333723	0.115134
0.328543	0.497742
0.173409	0.265315
0.192568	0.391876
0.256847	0.193920
0.160825	0.180928
0.192782	0.414482
0.123083	0.232628
0.097370	0.282860
0.099552	0.299653
0.291054	0.356541
0.133186	0.152498
0.100491	0.198469
0.230477	0.296162
0.279844	0.354003
0.201681	0.305547
0.305306	0.383159
0.290819	0.471127
0.241140	0.177238
0.301922	0.329095
0.348009	0.215765
0.292576	0.171157
0.223453	0.127368
0.452359	0.377720
0.409093	0.521594
0.393405	1.632631
0.631777	0.347478
0.369873	0.186786
0.389451	0.200567
0.396782	0.267828
0.512111	0.663183
0.365841	0.170116
0.487171	0.474992
0.215395	0.163700
0.438835	1.777280
0.457138	0.649136
0.435859	0.335612
0.314881	0.409345
0.693647	0.742202
0.494034	0.639774
0.510731	1.473459
0.604563	0.634792
0.639037	0.415374
0.595429	0.735355
0.605627	0.614712
0.238654	0.121714
0.542959	0.450656
0.634180	0.611983
0.305661	0.189510
0.535825	0.771588
0.334612	0.237575
0.232515	0.261579
0.173496	0.254171
0.182510	0.292017
0.119919	0.187673
0.131158	0.138372
