Velocity(m/s)	Chord(mm)
0.168079	0.216822
0.102852	0.097709
0.134357	0.137044
0.321463	0.528807
0.125623	0.148863
0.130507	0.183363
0.193474	0.261189
0.165376	0.295197
0.152727	0.347454
0.094280	0.186203
0.142876	0.270751
0.191942	0.609415
0.149662	0.312045
0.092610	0.138916
0.201214	0.487944
0.184903	0.269034
0.138241	0.250216
0.095397	0.171715
0.080481	0.121526
0.119605	0.126183
0.096455	0.146129
0.141658	0.372560
0.151820	0.355258
0.134782	0.342346
0.089184	0.169004
0.130158	0.177666
0.135025	0.369293
0.135709	0.369129
0.167572	0.493499
0.123228	0.202094
0.070020	0.102229
0.118418	0.235652
0.165803	0.484974
0.154979	0.177451
0.241304	0.775791
0.132515	0.168957
0.174541	0.188504
0.207762	0.399943
0.154544	0.202453
0.168409	0.154936
0.135119	0.206057
0.193233	0.357482
0.198116	0.259532
0.222848	0.303073
0.248606	0.267251
0.137276	0.182578
0.185298	0.202901
0.214348	0.355818
0.236403	0.241131
0.206178	0.151541
0.205208	0.421703
0.206408	0.447904
0.225637	0.209842
0.127309	0.122853
0.125203	0.230374
0.107641	0.099030
0.184722	0.556014
0.150124	0.329522
0.168581	0.295017
0.232064	0.859796
0.086960	0.152181
0.162562	0.249532
0.158330	0.291328
0.129387	0.295649
0.162307	0.865908
0.116501	0.276107
0.137826	0.224657
0.135414	0.264735
0.121910	0.132273
0.176446	0.282314
0.249906	0.508559
0.238806	0.287761
0.226647	0.159786
0.211615	0.235951
0.245673	0.298493
0.218119	0.260652
0.279520	0.285110
0.206202	0.344357
0.141420	0.151320
0.170195	0.228913
0.134182	0.124119
0.141055	0.146697
0.148655	0.125614
0.123428	0.178353
0.240195	0.518821
0.197598	0.135355
0.205579	0.193244
0.156556	0.196477
0.255179	0.606049
0.260992	0.390183
0.201602	0.283251
0.168791	0.179763
0.183621	0.363570
0.130043	0.133294
0.185468	0.204015
0.171996	0.296693
0.126975	0.150465
0.143378	0.163451
0.167005	0.253848
0.179270	0.348679
0.130747	0.175855
0.153562	0.238789
0.161874	0.253333
0.131165	0.210520
0.116080	0.129429
0.161111	0.299667
0.138299	0.160426
0.131707	0.277903
0.101752	0.218257
0.134040	0.132029
0.106395	0.217046
0.161235	0.177359
0.152315	0.236088
0.089927	0.129495
0.123473	0.243242
0.085905	0.551080
0.101394	0.210392
0.140780	0.468798
0.123301	0.155975
0.186120	0.587207
0.109658	0.167777
0.118465	0.225084
0.205858	1.047818
0.152215	0.226039
0.181978	0.203815
0.105866	0.119099
0.196138	0.301072
0.145696	0.136225
0.312099	1.026807
0.151833	0.190551
0.149951	0.179192
0.143414	0.258863
0.213182	0.412508
0.108903	0.130139
0.118296	0.218848
0.141778	0.178640
0.139655	0.372878
0.128933	0.266247
0.057300	0.205419
0.090103	0.168943
0.113430	0.241606
0.131001	0.260692
0.168798	0.398364
0.132456	0.221863
0.127259	0.239884
0.153858	0.294639
0.110361	0.257140
0.196647	0.553561
0.113537	0.169738
0.178999	0.366052
0.176055	0.348589
0.081468	0.108353
0.075685	0.102553
0.124172	0.185016
0.108111	0.118922
0.208896	0.378102
0.121944	0.174990
0.243171	0.291805
0.202277	0.615935
0.229238	0.408043
0.159219	0.134540
0.283686	0.580137
0.191313	0.205662
0.163732	0.121980
0.165616	0.415696
0.090257	0.134934
0.104420	0.155064
0.215365	0.685938
0.140053	0.140754
0.122625	0.096874
0.301879	1.325249
0.120998	0.157902
0.235443	0.608620
0.158075	0.233951
0.180317	0.362438
0.200560	0.422179
0.099632	0.140979
0.128737	0.193749
0.121828	0.254012
0.128031	0.234937
0.207069	0.485577
0.126351	0.148462
0.128747	0.131321
0.156059	0.229406
0.070295	0.078027
0.234019	0.383791
0.179182	0.313569
0.290886	0.280705
0.269677	0.720039
0.197016	0.166478
0.179120	0.263307
0.340493	0.680987
0.240130	0.274948
0.156867	0.197652
0.341361	0.276503
0.246460	0.487991
0.202686	0.405371
0.175038	0.154908
0.454114	1.237460
0.158740	0.132548
0.287272	0.868998
0.355823	0.549746
0.221207	0.290888
0.279863	0.456177
0.169646	0.138262
0.277504	0.462045
0.271890	0.273249
0.221045	0.218835
0.152911	0.179671
0.226549	0.156319
0.217237	0.319338
0.249496	0.363017
0.300899	0.374619
0.320147	0.390579
0.183808	0.147965
0.232491	0.159257
0.235146	0.464413
0.274077	0.206928
0.328430	0.420390
0.287503	0.284628
0.162079	0.119939
0.230621	0.171813
0.130518	0.104415
0.258440	0.272654
0.210292	0.161925
0.192431	0.259781
0.177971	0.144157
0.230214	0.148488
0.319622	0.997220
0.236015	0.274957
0.227480	0.495906
0.260005	0.254805
0.322979	0.600740
0.214428	0.131873
0.329926	1.186082
0.133627	0.132290
0.148846	0.156288
0.297167	0.745889
0.243512	0.567383
0.233648	0.658888
0.172597	0.275293
0.255228	0.363700
0.199118	0.316597
0.115895	0.130382
0.114801	0.137188
0.140549	0.275476
0.164779	0.259526
0.193503	0.432478
0.133115	0.215647
0.225072	0.284716
0.210095	0.328799
0.188555	0.148958
0.169190	0.148041
0.148285	0.163854
0.217516	0.277332
0.267093	0.439368
0.268052	0.399398
0.268241	0.445279
0.253956	0.629812
0.203320	0.245000
0.181656	0.193464
0.183460	0.303627
0.254165	0.551537
0.208924	0.192210
0.303686	0.331018
0.154720	0.131512
0.184702	0.130215
0.255061	0.214251
0.369828	0.153479
0.303251	0.529174
0.279053	0.281844
0.381056	0.712575
0.265183	0.381863
0.647300	0.304231
0.219722	0.147214
0.266639	0.254640
0.180907	0.185429
0.307440	0.574913
0.208977	0.229875
0.167043	0.177066
0.239203	0.532226
0.242763	0.217273
0.247233	0.305332
0.343991	0.414509
0.299258	0.212473
0.271419	0.173708
0.244310	0.263854
0.147601	0.167528
0.166810	0.453724
0.121528	0.128820
0.231761	0.257255
0.191470	0.175195
0.161455	0.158226
0.282779	0.661703
0.218701	0.159652
0.250587	0.162881
0.355673	0.248971
0.240889	0.339653
0.323513	0.215136
0.270662	0.387047
0.383969	1.075114
0.294736	0.250525
0.304515	0.239044
0.208158	0.220647
0.172457	0.259548
0.204638	0.245565
0.254729	0.824047
0.174870	0.135524
0.448841	2.190343
0.194442	0.530826
0.313390	0.510826
0.262975	0.265605
